match_id,season,date,match_type,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,target_runs,team1_runs,team1_overs,team1_wickets,team1_run_rate,team2_runs,team2_overs,team2_wickets,team2_run_rate,t1_platinum,t1_diamond,t1_gold,t1_silver,t1_emerging,t1_supplementary,t2_platinum,t2_diamond,t2_gold,t2_silver,t2_emerging,t2_supplementary,season_winner
1247024,2021,03/03/2021,League,National Stadium,Quetta Gladiators, Multan Sultans,Multan Sultans,field,Quetta Gladiators,runs,22,177,176,20,7,8.8,154,19.4,10,7.83,0,1,1,2,1,6,0,2,1,3,0,5,Multan Sultans
1247027,2021,09/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United, Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,5,144,143,20,9,7.15,144,20,5,7.2,2,1,2,2,1,3,2,2,0,2,0,5,Multan Sultans
1247025,2021,10/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Karachi Kings,Karachi Kings,field,Multan Sultans,runs,12,177,176,20,5,8.8,164,20,7,8.2,0,3,1,3,0,4,2,2,1,1,2,3,Multan Sultans
1247026,2021,10/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars, Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,runs,10,171,170,20,8,8.5,160,20,8,8,2,2,0,2,0,5,2,1,1,3,0,4,Multan Sultans
1247028,2021,11/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators, Islamabad United,Islamabad United,field,Islamabad United,wickets,10,134,133,20,10,6.65,137,10,0,13.7,0,2,2,1,0,7,2,0,0,1,1,3,Multan Sultans
1247030,2021,12/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi, Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,runs,61,198,197,20,5,9.85,136,20,9,6.8,2,1,1,3,0,4,0,2,1,1,1,6,Multan Sultans
1247029,2021,13/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United, Lahore Qalandars,Islamabad United,bat,Islamabad United,runs,28,153,124,18.2,10,6.76,152,20,7,7.6,2,2,0,2,0,5,1,0,2,3,1,4,Multan Sultans
1247031,2021,13/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi, Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,8,167,166,20,7,8.3,167,16.3,2,10.12,2,1,1,3,0,4,0,2,1,2,0,4,Multan Sultans
1247032,2021,14/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings, Islamabad United,Islamabad United,field,Islamabad United,wickets,8,191,190,20,4,9.5,191,18.4,2,10.23,2,2,1,1,1,4,2,0,0,1,1,5,Multan Sultans
1247033,2021,15/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators, Lahore Qalandars,Lahore Qalandars,field,Quetta Gladiators,runs,18,159,158,20,5,7.9,140,18,10,7.78,0,2,2,0,0,7,2,2,0,2,0,5,Multan Sultans
1247034,2021,15/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,6,109,108,20,9,5.4,109,11,4,9.91,2,2,2,1,0,4,2,1,1,2,1,4,Multan Sultans
1247035,2021,16/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,runs,110,184,183,20,5,9.15,73,12.1,10,6,0,3,1,2,0,5,0,2,2,0,0,7,Multan Sultans
1247036,2021,17/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United, Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,runs,15,248,247,20,2,12.35,232,20,6,11.6,1,0,2,1,0,5,2,1,0,2,1,5,Multan Sultans
1247037,2021,17/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings, Lahore Qalandars,Karachi Kings,bat,Karachi Kings,runs,7,177,169,20,7,8.45,176,20,5,8.8,2,2,0,2,0,5,2,2,1,2,0,4,Multan Sultans
1247038,2021,18/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,runs,80,170,169,20,8,8.45,89,15.1,10,5.87,0,3,1,2,0,5,2,2,0,2,0,5,Multan Sultans
1247039,2021,19/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings, Quetta Gladiators,Karachi Kings,bat,Karachi Kings,runs,14,177,162,20,6,8.1,176,20,7,8.8,0,0,2,1,1,7,2,2,1,2,1,3,Multan Sultans
1247040,2021,19/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Islamabad United,Islamabad United,field,Islamabad United,wickets,4,150,149,20,10,7.45,150,19.4,6,7.63,0,0,2,3,1,5,1,1,2,1,1,5,Multan Sultans
1247041,2021,21/06/2021,Qualifier,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Islamabad United,Multan Sultans,bat,Multan Sultans,runs,31,181,149,19,10,7.84,180,20,5,9,2,1,2,1,1,4,0,3,1,2,0,5,Multan Sultans
1247042,2021,21/06/2021,Eliminator,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,5,176,175,20,7,8.75,176,19.5,5,8.87,2,1,1,2,1,4,2,1,0,4,0,4,Multan Sultans
1247043,2021,22/06/2021,Eliminator,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,8,175,174,20,9,8.7,177,16.5,2,10.51,2,1,1,1,1,5,2,1,1,3,0,2,Multan Sultans
1247044,2021,24/06/2021,Final,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans, Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,runs,47,207,206,20,4,10.3,159,20,9,7.95,0,3,1,2,0,5,2,1,1,2,0,5,Multan Sultans
1293000,2022,27/01/2022,League,"National Stadium, Karachi",Karachi Kings, Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,7,125,124,20,5,6.2,126,18.2,3,6.87,1,1,2,2,1,4,1,2,2,1,0,5,Lahore Qalandars
1293001,2022,28/01/2022,League,"National Stadium, Karachi",Quetta Gladiators, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,5,191,190,20,4,9.5,191,19.4,5,9.71,0,2,2,1,1,4,0,2,2,1,0,6,Lahore Qalandars
1293002,2022,29/01/2022,League,"National Stadium, Karachi",Lahore Qalandars, Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,5,207,206,20,5,10.3,209,19.4,5,10.63,2,2,1,1,1,4,1,2,2,0,0,6,Lahore Qalandars
1293003,2022,29/01/2022,League,"National Stadium, Karachi",Karachi Kings, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,8,114,113,17.3,10,6.46,114,15.5,2,7.2,2,1,2,1,1,4,0,2,2,1,0,5,Lahore Qalandars
1293004,2022,30/01/2022,League,"National Stadium, Karachi",Peshawar Zalmi, Islamabad United,Islamabad United,field,Islamabad United,wickets,9,169,168,20,6,8.4,172,15.5,1,10.86,1,2,2,0,0,6,1,2,0,0,1,5,Lahore Qalandars
1293005,2022,30/01/2022,League,"National Stadium, Karachi",Karachi Kings, Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,6,171,170,20,7,8.5,174,19.2,4,9,2,1,2,2,0,3,2,2,1,1,1,3,Lahore Qalandars
1293006,2022,31/01/2022,League,"National Stadium, Karachi",Multan Sultans, Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,runs,6,175,174,20,4,8.7,168,19.5,10,8.47,1,2,2,1,1,4,0,2,2,1,1,5,Lahore Qalandars
1293007,2022,01/02/2022,League,"National Stadium, Karachi",Multan Sultans, Islamabad United,Islamabad United,field,Multan Sultans,runs,20,218,217,20,5,10.85,197,19.4,10,10.02,1,2,2,2,1,3,2,2,1,0,1,5,Lahore Qalandars
1293008,2022,02/02/2022,League,"National Stadium, Karachi",Lahore Qalandars, Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,runs,29,200,199,20,4,9.95,170,20,9,8.5,2,2,1,1,1,2,1,2,2,2,0,4,Lahore Qalandars
1293009,2022,03/02/2022,League,"National Stadium, Karachi",Islamabad United, Quetta Gladiators,Quetta Gladiators,field,Islamabad United,runs,43,230,229,20,4,11.45,186,19.3,10,9.54,2,2,1,1,1,4,0,2,2,1,1,5,Lahore Qalandars
1293010,2022,04/02/2022,League,"National Stadium, Karachi",Peshawar Zalmi, Karachi Kings,Karachi Kings,field,Peshawar Zalmi,runs,9,174,173,20,4,8.65,164,20,6,8.2,1,2,2,2,0,4,2,1,2,1,0,4,Lahore Qalandars
1293011,2022,05/02/2022,League,"National Stadium, Karachi",Lahore Qalandars, Islamabad United,Islamabad United,field,Lahore Qalandars,runs,8,175,174,20,9,8.7,166,20,5,8.3,2,2,1,1,1,4,2,2,1,1,1,4,Lahore Qalandars
1293012,2022,05/02/2022,League,"National Stadium, Karachi",Multan Sultans, Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,runs,57,223,222,20,3,11.1,165,20,8,8.25,1,2,2,1,1,3,1,2,1,2,0,5,Lahore Qalandars
1293013,2022,06/02/2022,League,"National Stadium, Karachi",Islamabad United, Karachi Kings,Islamabad United,bat,Islamabad United,runs,42,178,135,20,9,6.75,177,20,6,8.85,2,1,1,1,1,5,2,2,1,1,1,4,Lahore Qalandars
1293014,2022,07/02/2022,League,"National Stadium, Karachi",Lahore Qalandars, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,7,205,204,20,5,10.2,207,19.3,3,10.62,2,2,1,1,1,4,0,2,2,0,0,6,Lahore Qalandars
1293015,2022,10/02/2022,League,"Gaddafi Stadium, Lahore",Multan Sultans, Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,runs,42,183,182,20,7,9.1,140,19.3,10,7.18,1,2,2,1,1,4,1,2,1,2,0,5,Lahore Qalandars
1293016,2022,11/02/2022,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Multan Sultans,Multan Sultans,field,Lahore Qalandars,runs,52,183,182,20,4,9.1,130,19.3,10,6.67,2,2,1,1,1,3,1,2,2,1,1,4,Lahore Qalandars
1293017,2022,12/02/2022,League,"Gaddafi Stadium, Lahore",Islamabad United, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,5,200,199,20,8,9.95,203,19.4,5,10.32,2,2,1,1,1,4,0,1,2,1,0,7,Lahore Qalandars
1293018,2022,13/02/2022,League,"Gaddafi Stadium, Lahore",Peshawar Zalmi, Karachi Kings,Karachi Kings,field,Peshawar Zalmi,runs,55,194,193,20,6,9.65,138,20,6,6.9,1,2,0,1,0,7,2,1,2,1,1,4,Lahore Qalandars
1293019,2022,13/02/2022,League,"Gaddafi Stadium, Lahore",Quetta Gladiators, Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,8,142,141,20,7,7.05,143,17.4,2,8.09,0,1,1,2,0,7,2,2,1,1,1,2,Lahore Qalandars
1293020,2022,14/02/2022,League,"Gaddafi Stadium, Lahore",Islamabad United, Karachi Kings,Karachi Kings,field,Islamabad United,runs,1,192,191,20,7,9.55,190,20,8,9.5,2,2,1,2,1,3,2,1,1,2,1,4,Lahore Qalandars
1293021,2022,15/02/2022,League,"Gaddafi Stadium, Lahore",Peshawar Zalmi, Quetta Gladiators,Peshawar Zalmi,bat,Peshawar Zalmi,runs,24,186,161,20,8,8.05,185,20,7,9.25,0,1,1,3,0,6,1,1,2,1,0,6,Lahore Qalandars
1293022,2022,16/02/2022,League,"Gaddafi Stadium, Lahore",Karachi Kings, Multan Sultans,Karachi Kings,bat,Multan Sultans,wickets,7,175,176,19.3,3,9.03,174,20,6,8.7,1,1,2,2,0,4,2,1,1,3,1,2,Lahore Qalandars
1293023,2022,17/02/2022,League,"Gaddafi Stadium, Lahore",Peshawar Zalmi, Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,runs,10,207,196,20,7,9.8,206,20,8,10.3,1,1,1,2,1,5,1,1,2,1,0,6,Lahore Qalandars
1293024,2022,18/02/2022,League,"Gaddafi Stadium, Lahore",Multan Sultans, Quetta Gladiators,Multan Sultans,bat,Multan Sultans,runs,117,246,128,15.5,10,8.08,245,20,3,12.25,0,1,1,2,0,7,1,1,2,2,0,4,Lahore Qalandars
1293025,2022,18/02/2022,League,"Gaddafi Stadium, Lahore",Karachi Kings, Lahore Qalandars,Karachi Kings,bat,Karachi Kings,runs,22,150,127,20,9,6.35,149,19.5,10,7.51,2,2,1,1,1,4,2,1,1,2,1,4,Lahore Qalandars
1293026,2022,19/02/2022,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Islamabad United,Lahore Qalandars,bat,Lahore Qalandars,runs,66,198,131,20,9,6.55,197,20,6,9.85,1,1,1,2,1,5,2,2,0,2,1,4,Lahore Qalandars
1293027,2022,20/02/2022,League,"Gaddafi Stadium, Lahore",Quetta Gladiators, Karachi Kings,Quetta Gladiators,bat,Quetta Gladiators,runs,23,167,143,20,8,7.15,166,20,4,8.3,2,0,1,3,1,4,0,1,1,2,1,5,Lahore Qalandars
1293028,2022,20/02/2022,League,"Gaddafi Stadium, Lahore",Islamabad United, Multan Sultans,Islamabad United,bat,Multan Sultans,wickets,6,106,111,17.2,4,6.4,105,20,7,5.25,1,1,2,2,1,3,1,0,1,2,1,6,Lahore Qalandars
1293029,2022,21/02/2022,League,"Gaddafi Stadium, Lahore",Peshawar Zalmi, Lahore Qalandars,Peshawar Zalmi,bat,No Result,N/A,0,159,171,21.2,8,8.02,158,20,7,7.9,2,3,0,2,1,5,1,2,1,2,0,6,Lahore Qalandars
1293030,2022,23/02/2022,Qualifier,"Gaddafi Stadium, Lahore",Multan Sultans, Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,runs,28,164,163,20,2,8.15,135,20,9,6.75,1,1,2,2,1,3,1,2,1,1,1,5,Lahore Qalandars
1293031,2022,24/02/2022,Eliminator,"Gaddafi Stadium, Lahore",Peshawar Zalmi, Islamabad United,Peshawar Zalmi,bat,Islamabad United,wickets,5,170,170,19.3,5,8.72,169,20,5,8.45,2,2,1,1,0,5,1,2,1,2,0,5,Lahore Qalandars
1293032,2022,25/02/2022,Eliminator,"Gaddafi Stadium, Lahore",Lahore Qalandars, Islamabad United,Lahore Qalandars,bat,Lahore Qalandars,runs,6,169,162,19.4,10,8.24,168,20,7,8.4,2,1,1,1,0,6,1,2,1,1,1,5,Lahore Qalandars
1293033,2022,27/02/2022,Final,"Gaddafi Stadium, Lahore",Lahore Qalandars, Multan Sultans,Lahore Qalandars,bat,Lahore Qalandars,runs,42,181,138,19.3,10,7.08,180,20,5,9,1,1,2,2,1,4,1,2,1,2,1,4,Lahore Qalandars
1354924,2023,13/02/2023,League,Multan Cricket Stadium,Lahore Qalandars, Multan Sultans,Multan Sultans,field,Lahore Qalandars,runs,1,176,175,20,6,8.75,174,20,6,8.7,1,2,1,1,1,5,1,2,0,3,1,4,Lahore Qalandars
1354925,2023,14/02/2023,League,"National Stadium, Karachi",Peshawar Zalmi, Karachi Kings,Karachi Kings,field,Peshawar Zalmi,runs,2,200,199,20,5,9.95,197,20,5,9.85,1,1,1,2,1,5,2,3,0,2,1,3,Lahore Qalandars
1354926,2023,15/02/2023,League,Multan Cricket Stadium,Quetta Gladiators, Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,9,111,110,18.5,10,5.84,111,13.3,1,8.22,2,1,2,1,1,4,1,1,0,2,2,2,Lahore Qalandars
1354927,2023,16/02/2023,League,"National Stadium, Karachi",Karachi Kings, Islamabad United,Islamabad United,field,Islamabad United,wickets,4,174,173,20,7,8.65,178,18.2,6,9.71,1,3,0,1,1,5,1,2,2,1,1,4,Lahore Qalandars
1354928,2023,17/02/2023,League,Multan Cricket Stadium,Multan Sultans, Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,runs,56,211,210,20,3,10.5,154,18.5,10,8.18,1,2,0,2,2,4,1,1,1,2,1,5,Lahore Qalandars
1354929,2023,18/02/2023,League,"National Stadium, Karachi",Quetta Gladiators, Karachi Kings,Karachi Kings,field,Quetta Gladiators,runs,6,169,168,20,7,8.4,162,20,5,8.1,3,1,1,1,1,4,2,3,0,2,1,3,Lahore Qalandars
1354930,2023,19/02/2023,League,Multan Cricket Stadium,Multan Sultans, Islamabad United,Islamabad United,field,Multan Sultans,runs,52,191,190,20,4,9.5,138,17.5,10,7.74,1,2,1,1,2,4,1,1,2,2,1,4,Lahore Qalandars
1354931,2023,19/02/2023,League,"National Stadium, Karachi",Karachi Kings, Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,runs,67,186,185,20,5,9.25,118,17.3,10,6.74,2,3,0,2,1,3,1,2,1,1,1,5,Lahore Qalandars
1354932,2023,20/02/2023,League,"National Stadium, Karachi",Quetta Gladiators, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,4,155,154,20,4,7.7,157,18.3,6,8.49,3,1,2,0,0,4,1,1,2,2,1,4,Lahore Qalandars
1354933,2023,21/02/2023,League,"National Stadium, Karachi",Lahore Qalandars, Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,runs,63,199,198,20,6,9.9,135,20,8,6.75,2,2,1,1,1,4,3,1,2,0,1,4,Lahore Qalandars
1354934,2023,22/02/2023,League,Multan Cricket Stadium,Multan Sultans, Karachi Kings,Karachi Kings,field,Multan Sultans,runs,3,197,196,20,2,9.8,193,20,5,9.65,1,2,1,1,2,3,2,2,0,2,1,4,Lahore Qalandars
1354935,2023,23/02/2023,League,"National Stadium, Karachi",Peshawar Zalmi, Islamabad United,Islamabad United,field,Islamabad United,wickets,6,157,156,20,8,7.8,159,14.5,4,10.72,1,1,2,2,1,4,2,1,3,1,0,4,Lahore Qalandars
1354936,2023,24/02/2023,League,"National Stadium, Karachi",Islamabad United, Quetta Gladiators,Islamabad United,bat,Islamabad United,runs,63,221,157,19.1,10,8.19,220,20,6,11,2,1,2,0,1,5,2,2,3,1,0,2,Lahore Qalandars
1354937,2023,26/02/2023,League,"National Stadium, Karachi",Karachi Kings, Multan Sultans,Multan Sultans,field,Karachi Kings,runs,66,168,167,20,3,8.35,101,16.3,10,6.12,0,2,0,3,0,3,1,2,0,2,2,4,Lahore Qalandars
1354938,2023,26/02/2023,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Peshawar Zalmi,Lahore Qalandars,bat,Lahore Qalandars,runs,40,242,201,20,9,10.05,241,20,3,12.05,1,1,2,2,0,5,2,2,2,0,1,4,Lahore Qalandars
1354939,2023,27/02/2023,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Islamabad United,Lahore Qalandars,bat,Lahore Qalandars,runs,110,201,90,13.5,10,6.51,200,20,7,10,2,1,3,1,1,3,2,2,2,0,1,4,Lahore Qalandars
1354940,2023,01/03/2023,League,Rawalpindi Cricket Stadium,Peshawar Zalmi, Karachi Kings,Karachi Kings,field,Peshawar Zalmi,runs,24,198,197,20,5,9.85,173,20,8,8.65,1,2,2,2,1,3,0,3,0,3,1,4,Lahore Qalandars
1354941,2023,02/03/2023,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,runs,17,149,148,19.2,10,7.66,131,20,7,6.55,2,2,2,0,1,4,2,1,1,2,0,5,Lahore Qalandars
1354942,2023,03/03/2023,League,Rawalpindi Cricket Stadium,Karachi Kings, Islamabad United,Karachi Kings,bat,Islamabad United,wickets,6,202,204,19.2,4,10.55,201,20,5,10.05,1,1,3,1,0,5,0,3,0,3,1,4,Lahore Qalandars
1354943,2023,04/03/2023,League,"Gaddafi Stadium, Lahore",Lahore Qalandars, Multan Sultans,Lahore Qalandars,bat,Lahore Qalandars,runs,21,181,159,20,7,7.95,180,20,9,9,1,2,0,3,2,3,2,2,2,0,1,4,Lahore Qalandars
1354944,2023,05/03/2023,League,Rawalpindi Cricket Stadium,Quetta Gladiators, Islamabad United,Islamabad United,field,Islamabad United,wickets,2,180,179,20,6,8.95,183,19.3,8,9.38,2,2,0,3,0,4,2,2,3,1,0,3,Lahore Qalandars
1354945,2023,06/03/2023,League,Rawalpindi Cricket Stadium,Karachi Kings, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,4,165,164,20,6,8.2,168,19.5,6,8.47,0,3,0,2,1,5,2,2,0,2,1,4,Lahore Qalandars
1354946,2023,07/03/2023,League,Rawalpindi Cricket Stadium,Peshawar Zalmi, Lahore Qalandars,Peshawar Zalmi,bat,Peshawar Zalmi,runs,35,208,172,19.4,10,8.75,207,19.3,10,10.62,2,2,2,0,2,3,1,2,2,2,1,3,Lahore Qalandars
1354947,2023,07/03/2023,League,Rawalpindi Cricket Stadium,Multan Sultans, Islamabad United,Islamabad United,field,Islamabad United,wickets,2,206,205,20,5,10.25,209,19.5,8,10.54,1,1,1,2,2,4,2,3,2,1,0,3,Lahore Qalandars
1354948,2023,08/03/2023,League,Rawalpindi Cricket Stadium,Peshawar Zalmi, Quetta Gladiators,Peshawar Zalmi,bat,Quetta Gladiators,wickets,8,241,243,18.2,2,13.25,240,20,2,12,2,0,2,0,1,4,1,2,1,2,0,3,Lahore Qalandars
1354949,2023,09/03/2023,League,Rawalpindi Cricket Stadium,Lahore Qalandars, Islamabad United,Lahore Qalandars,bat,Lahore Qalandars,runs,119,227,107,15.1,9,7.05,226,20,5,11.3,2,3,2,0,0,3,2,1,2,1,1,3,Lahore Qalandars
